,erc,inverse_vol,equal_share,gap
XLK,0.05263163974449684,0.04404337046017066,0.05263157894736842,-0.008588269284326183
XLF,0.05263163337520612,0.04581198442425641,0.05263157894736842,-0.006819648950949712
XLE,0.052631722666632644,-0.016226453424124414,0.05263157894736842,-0.06885817609075706
XLV,0.052631564557643624,0.04773270152915834,0.05263157894736842,-0.004898863028485287
XLI,0.05263159732799344,0.07041762137500504,0.05263157894736842,0.0177860240470116
XLP,0.05263165831227975,0.029304872098059088,0.05263157894736842,-0.02332678621422066
XLY,0.0526316040138753,0.0654155647017832,0.05263157894736842,0.012783960687907894
XLU,0.052631654565090544,0.044988500321814576,0.05263157894736842,-0.007643154243275968
XLB,0.052631598942111085,0.07417594799187613,0.05263157894736842,0.021544349049765044
EFA,0.052631595374356896,0.08220691701270598,0.05263157894736842,0.029575321638349084
EEM,0.0526316187117632,0.06276747508228046,0.05263157894736842,0.010135856370517261
SHY,0.05263149822155681,0.06884832982586514,0.05263157894736842,0.016216831604308327
IEF,0.0526312979225961,0.07092644440523853,0.05263157894736842,0.01829514648264243
TLT,0.05263144653149139,0.0596531192552564,0.05263157894736842,0.007021672723765006
LQD,0.05263156838131667,0.0755310886200727,0.05263157894736842,0.02289952023875603
HYG,0.05263162721670257,0.08217916328476026,0.05263157894736842,0.029547536068057684
GLD,0.052631619878415664,0.05414973209873392,0.05263157894736842,0.0015181122203182587
DBC,0.05263143650632559,-0.021764987615749094,0.05263157894736842,-0.07439642412207469
VNQ,0.052631617750145555,0.05983860855283682,0.05263157894736842,0.007206990802691264
